exp_id,job_id,recipe,status,dataset,architecture,dimensionality,sampling_mode,k_input,g_shell,n_context_samples,n_preds,n_params,sec_per_epoch,sec_per_volume,peak_gpu_mem_mb,duration_s
paper_final_k16,drcnet_dbrain_ncontext24_seed_91041_infer,n_context_stability,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,,29.568310491244,5694.45458984375,1807.233006477356
paper_final_k16,restormer_dbrain_ncontext24_seed_91031_infer,n_context_stability,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,,110.09291232824326,2502.79736328125,6639.2321565151215
paper_final_k16,restormer_dbrain_ncontext24_seed_91041_infer,n_context_stability,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,,109.08693988720576,2502.79736328125,6579.567742824554
paper_final_k16,drcnet_dbrain_gap_standard_infer,training_inference_gap_proxy,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,,29.211590778827667,5694.45458984375,1785.872181892395
paper_final_k16,drcnet_dbrain_gap_masked_proxy_infer,training_inference_gap_proxy,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,,29.208864076932272,5694.45458984375,1786.2309756278992
paper_final_k16,restormer_dbrain_gap_standard_infer,training_inference_gap_proxy,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,,109.32164094845454,2502.79736328125,6593.547632217407
paper_final_k16,restormer_dbrain_gap_masked_proxy_infer,training_inference_gap_proxy,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,,109.38584409157436,2502.79736328125,6597.947120189667
paper_final_k16,drcnet_dbrain_inference_time_ctx5_pred5,inference_time_grid,success,dbrain,drcnet,3d,rgs,16,60,5,5,116002,,6.413794445991516,5676.45458984375,419.3142738342285
paper_final_k16,drcnet_dbrain_inference_time_ctx12_pred10,inference_time_grid,success,dbrain,drcnet,3d,rgs,16,60,12,10,116002,,20.3037991921107,5694.45458984375,1251.777111530304
paper_final_k16,drcnet_dbrain_inference_time_ctx24_pred12,inference_time_grid,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,,30.704824833075204,5694.45458984375,1875.4486935138702
paper_final_k16,drcnet_dbrain_inference_time_ctx48_pred20,inference_time_grid,success,dbrain,drcnet,3d,rgs,16,60,48,20,116002,,142.49991193612416,5694.45458984375,8583.258320093155
paper_final_k16,restormer_dbrain_inference_time_ctx5_pred5,inference_time_grid,success,dbrain,restormer,3d,rgs,16,60,5,5,177883,,19.22359484831492,2491.01318359375,1188.3186626434326
paper_final_k16,restormer_dbrain_inference_time_ctx12_pred10,inference_time_grid,success,dbrain,restormer,3d,rgs,16,60,12,10,177883,,78.57938077847163,2502.56396484375,4748.898900985718
paper_final_k16,restormer_dbrain_inference_time_ctx24_pred12,inference_time_grid,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,,122.93343255519866,2507.55615234375,7410.149172306061
paper_final_k16,restormer_dbrain_inference_time_ctx48_pred20,inference_time_grid,success,dbrain,restormer,3d,rgs,16,60,48,20,177883,,589.0661360144616,2527.02294921875,35377.71918678284
paper_final_k16,drcnet_dbrain_rgs_orientation_encoding_final,drcnet_orientation_encoding,success,dbrain,drcnet,3d,rgs,16,60,16,12,121122,,,0.0,36.939566135406494
paper_final_k16,drcnet_dbrain_rgs_orientation_encoding_final,drcnet_orientation_encoding,success,dbrain,drcnet,3d,rgs,16,60,16,12,121122,15.400998697015975,34.28196743329366,8061.9658203125,7663.821052789688
paper_final_k16,restormer_dbrain_rgs_orientation_encoding_final,restormer_orientation_encoding,success,dbrain,restormer,3d,rgs,16,60,16,12,183003,33.341521386305494,128.76775248050689,11068.44677734375,19787.228061437607
paper_final_k16,drcnet_dbrain_rgs_orientation_encoding_OLD,drcnet_orientation_encoding_OLD,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,14.842808495627509,35.21724730332692,8010.208984375,7511.1722457408905
paper_final_k16,restormer_dbrain_rgs_orientation_encoding_OLD,restormer_orientation_encoding_OLD,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,33.42387402587467,129.86567536989847,11066.98681640625,19884.657908678055
paper_final_k16,drcnet_dbrain_rgs_film_conditioning,film_conditioning_drcnet,success,dbrain,drcnet,3d,rgs,16,60,16,12,120546,14.988401916954253,35.30284998019536,8314.6025390625,7569.21444106102
paper_final_k16,restormer_dbrain_rgs_film_conditioning,film_conditioning_restormer,success,dbrain,restormer,3d,rgs,16,60,16,12,184699,33.28290403352843,130.28487542470296,11097.13427734375,19859.43830895424
paper_final_k16,drcnet_stanford_rgs_film_conditioning,film_conditioning_drcnet_stanford,success,stanford,drcnet,3d,rgs,16,150,16,23,120546,25.48615935140186,26.77356780211131,8314.6025390625,27010.084391355515
paper_final_k16,restormer_stanford_rgs_film_conditioning,film_conditioning_restormer_stanford,success,stanford,restormer,3d,rgs,16,150,16,23,184699,11.912015165487926,85.40712254206339,11096.50927734375,23589.749242544174
